vipAddress,FilterName,Route,Path,UpstreamPath,Host,IP_Based,SubFilters,AuthType,Entitlements,ClientName
1padminui.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},psaPreFilter,/psa.*,/psa,/,null,FALSE,null,NOVALIDATE,null,1P_ADMIN_UI
1padminuifb1.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},psaFb1PreFilter,null,/psa,/,null,FALSE,null,NOVALIDATE,null,1P_ADMIN_UI_FB1
1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},aaaExecute,/api/_execute.*,null,/_execute,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER
1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},aaaConsumerApplication,/api/_consumer_application.*,null,/_consumer_application,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER
1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},aaaAlertEmail,/api/_alert_email.*,null,/_alert_email,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER
1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},1palertmanagerPreFilter,/alerts.*,null,/alerts,null,FALSE,null,NOVALIDATE,null,ALERTMANAGER
1pappbridge.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},bridgeService,/api/bridge.*,null,/bridge,null,FALSE,null,AUTH,null,BRIDGECLIENT
1pappbridgetest.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},bridgeServiceTest,null,null,/bridge,null,FALSE,null,AUTH,null,BRIDGECLIENT_TEST
1pappbroker.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},frontendPreFilter,/.*,/.*,/,dev-snapshot.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_APP_BROKER
1pappbroker.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},urlRedirectionPreFilter,/cmty.*,/cmty.*,/,dev-snapshot.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_APP_BROKER
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},oauthPreFilter,/api/authorize.*,null,/authorize,null,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},oauthSocialMergePreFilter,/api/authorize/auth,null,/authorize,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},oauthMergePreFilter,/api/merge.*,/api/merge,/authorize/merge,null,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},oauthVerifyPreFilter,/api/oauth.*,/api/oauth,/authorize/verify,null,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},sessionService,/api/session.*,null,/session,null,FALSE,null,NOVALIDATE,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},registerPreFilter,/api/auth/register,null,/auth/register,null,FALSE,null,NOVALIDATE,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},registrationPreFilter,/api/registration.*,null,/registration,null,FALSE,null,NOVALIDATE,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},passwordPreFilter,/api/auth/resetpassword,null,/auth/resetpassword,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},healthCheckPreFilter,/api/auth/healthcheck,null,/healthcheck,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},accountSettingsPreFilter,/api/auth/accountsettings,null,/auth/accountsettings,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},sprefsPrefilter,/api/users/sprefs.*,null,/users/sprefs,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},accountPreFilter,/api/account.*,null,/account,null,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},accountAuthPreFilter,/api/account/auth.*,null,/account,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},ssoPreFilter,/api/sso.*,null,/sso,null,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},emailAuthPreFilter,/api/email.*,null,/email,null,FALSE,null,AUTH,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},emailPreFilter,/api/email/confirm.*,null,/email,null,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},captchaAuthPreFilter,/api/util/text.*,null,/util/text,null,FALSE,null,PASSTHRU,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},forgotpasswordPreFilter,/api/account/forgotpassword.*,/api/account/forgotpassword.*,/account,(.*)[.]clarivate.com||(.*)[.]cortellis.cn||(.*)[.]cortellis.com||(.*)[.]derwentinnovation.com||(.*)[.]myendnoteweb.com||(.*)[.]oneplatform.build||(.*)[.]publons.com||(.*)[.]thomson.com||(.*)[.]thomsonreuters.com,FALSE,null,null,null,AUTH
1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},auditHistoryAuthPreFilter,/api/audit/history/.*,null,/audit/history,null,FALSE,null,AUTH,null,AUTH
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commentsService,/api/comments.*,null,/comments,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},statisticsService,/api/statistics.*,null,/statistics,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},appreciationService,/api/appreciation.*,null,/appreciation,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},reportService,/api/report.*,null,/report,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},postService,/api/posts.*,null,/posts,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},draftService,/api/drafts.*,null,/drafts,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},authoringMediaService,/api/authoring-media.*,null,/authoring-media,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},authoringMediaServiceNoValidate,/api/authoring-media/[a-fA-F0-9-]+$,null,/authoring-media,null,FALSE,null,NOVALIDATE,null,AUTHORING
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commentsSageService,/api/comments.*,/api/comments.*,/comments,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},statisticsSageService,/api/statistics.*,/api/statistics.*,/statistics,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},appreciationSageService,/api/appreciation.*,/api/appreciation.*,/appreciation,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},reportSageService,/api/report.*,/api/report.*,/report,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},postSageService,/api/posts.*,/api/posts.*,/posts,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},draftSageService,/api/drafts.*,/api/drafts.*,/drafts,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},authoringMediaSageService,/api/authoring-media.*,null,/authoring-media,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},authoringMediaSageServiceNoValidate,/api/authoring-media/[a-fA-F0-9-]+$,null,/authoring-media,null,FALSE,null,NOVALIDATE,null,AUTHORINGSAGE
1pcache.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},1pcachePreFilter,/api/cache/igr.*,/api/cache/igr,/,null,FALSE,null,NOVALIDATE,null,1PCACHE
1pchemistry.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},1pchemistryPreFilter,/api/chemistry/igr.*,/api/chemistry/igr,/,null,FALSE,null,NOVALIDATE,null,1PCHEMISTRY
1pcitations.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},watchlistPreListsAuth,/api/lists/watchlist.*,null,/lists/watchlist,null,FALSE,null,AUTH,null,WATCH
1pclaiming.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},claimingService,/api/claiming.*,null,/claiming,null,FALSE,null,AUTH,null,CLAIMING
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsSearchPreFilter,/api/ca/search.*,null,/search,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsCollectPreFilter,/api/ca/collect.*,null,/collect,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsGetPreFilter,/api/ca/get.*,null,/get,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsHitlistPreFilter,/api/ca/hitlist.*,null,/hitlist,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsStrlistPreFilter,/api/ca/strlist.*,null,/strlist,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsScopePreFilter,/api/ca/scope.*,null,/scope,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsIdsPreFilter,/api/ca/ids.*,null,/ids,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalyticsincites.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsIncitesSearchPreFilter,/api/ca-incites/search.*,null,/search,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsIncitesXrpcPreFilter,/api/ca-incites/xrpc.*,null,/xrpc,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsIncitesCollectPreFilter,/api/ca-incites/collect.*,null,/collect,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsIncitesGetPreFilter,/api/ca-incites/get.*,null,/get,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},commonAnalyticsIncitesScopePreFilter,/api/ca-incites/scope.*,null,/scope,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcontainer.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},containerPreFilter,/api/container/v2/container.*,/api/container/v2/container,/container,null,FALSE,null,AUTH,null,CONTAINER
1pcontainer.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},containerNoAuthPreFilter,/api/container/v3/container.*,/api/container/v3/container,/container,null,FALSE,null,NOAUTH,null,CONTAINER
1pdecorator.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},decoratorService,/api/decorator/.*,null,/decorator,null,FALSE,null,AUTH,null,DECORATOR
1pdecorator.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},decoratorEntService,/api/decoratorent/.*,api/decoratorent,/decorator,null,FALSE,null,AUTH,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DECORATOR
1pdecoratorsage.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},decoratorSageService,/api/decorator/.*,/api/decorator/.*,/decorator,null,FALSE,null,AUTH,null,DECORATORSAGE
1PENTITLEMENTS.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},entitlements,/api/entitlements.*,null,/entitlements,null,FALSE,CORSHeadersFilter,AUTH,null,ENT
1pexampleservice.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},exampleService,/api/example_service.*||/api/test8_example_service.*||/api/test9_example_service.*,/api/example_service,/,null,FALSE,eurekaTestApiHeaders,PASSTHRU,null,EXAMPLE_SERVICE
1pexampleservice.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},ipexampleService,/api/ipexample_service.*,/api/ipexample_service,/,null,TRUE,null,NOVALIDATE,null,EXAMPLE_SERVICE
1pexampleservice.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},authExampleService,/api/auth_example_service.*,/api/auth_example_service,/,null,FALSE,null,AUTH,null,EXAMPLE_SERVICE
1pexp.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},experiment,/api/experiment.*,null,/experiment,null,FALSE,null,NOAUTH,null,EXP
1pexport.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},exportPreFilter,/api/export/.*,null,/export,null,FALSE,null,NOVALIDATE,null,1PEXPORT
1pfollow.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},followService,/api/follow.*,null,/follow,null,FALSE,null,AUTH,null,FOLLOWING
1pfrontend.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},communityPreFilter,/cmty.*,/cmty,/,null,FALSE,null,NOVALIDATE,null,1P_FRONTEND
1pfrontendfb2.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},frontendFb2PreFilter,null,/,/,null,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB2
1pfrontendfb3.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},frontendFb3PreFilter,/.*,/.*,/,dev-snapshot-fb3.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB3
1pfrontendfb4.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},frontendFb4PreFilter,/.*,/.*,/,dev-snapshot-fb4.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB4
1pfrontendfb5.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},frontendFb5PreFilter,/.*,/.*,/,dev-snapshot-fb5.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB5
1pfrontendfb6.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},frontendFb6PreFilter,/.*,/.*,/,dev-snapshot-fb6.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB6
1pfrontendfb6.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},communityFb6PreFilter,null,/cmty,/,null,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB6
1pgeoduck.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},geoDuck,/api/geoDuck.*,/api/geoDuck,/,null,FALSE,null,NOVALIDATE,null,1P_GEODUCK
1pgroups.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},groups,/api/groups.*,null,/groups,null,FALSE,CORSHeadersFilter,NOVALIDATE,null,1P_GROUPS
1pgroups.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},invites,/api/invites.*,null,/invites,null,FALSE,null,NOVALIDATE,null,1P_GROUPS
1pidentity.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},credentialsPreFilter,/api/credentials.*,null,/credentials,null,FALSE,null,NOVALIDATE,null,1PIDENTITY
1plinksentitlements.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},links-entitlements,/api/links/entitlements.*,null,/entitlements,null,TRUE,null,NOVALIDATE,null,links-entitlements
1plinksentitlementsui.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},linksentPreFilter,/linksent.*,/linksent,/,null,TRUE,null,NOVALIDATE,null,LINKSENT_FRONTEND
1plinksgateway.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},linksGatewayPrefilter,/api/gateway.*,null,/gateway,null,FALSE,null,NOVALIDATE,null,LINKS-GATEWAY
1pmanumatcher.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},matcherPrefilter,/api/matcher.*,/api/matcher,/matcher,null,FALSE,null,NOVALIDATE,null,1pmanumatcher
1pmedia.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},mediaServiceNoValidate,/api/media.*,/api/media,/media,null,FALSE,null,NOVALIDATE,null,MEDIA
1pmicrouiaccount.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},accountUIPreFilter,/account.*,/account.*,/,apps.dev-snapshot.clarivate.com||fb1.apps.dev-snapshot.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_ACCOUNT
1pmicrouilogin.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment},AuthMicroSitePreFilter,/.*,/.*,/,iam-snapshot.dev.oneplatform.build,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN
